keys,zh,en,ja
MAP_SELECT_TITLE,[ 选择地图 ],[ Select Map ],[ マップ選択 ]
MAP_SELECT_SUBTITLE,生存模式  //  SURVIVAL MODE,SURVIVAL MODE,サバイバル  //  SURVIVAL MODE
MAP_SELECT_HINT_ESC,ESC 返回主菜单,ESC to return to main menu,ESC でメインメニューへ
MAP_BASEMAP_ERROR_FMT,⚠ 地图底图加载失败：%s。当前显示旧矢量兜底图，请重新导入资源或更新构建。,⚠ Map base layer failed: %s. Legacy vector fallback is active; reimport assets or update the build.,⚠ マップ背景の読み込みに失敗：%s。旧ベクター代替表示です。リソースを再インポートするかビルドを更新してください。
MAP_BASEMAP_ERROR_REASON_MISSING_TEXTURE,底图纹理缺失或尚未导入,the texture is missing or not imported,背景テクスチャがないか未インポート
MAP_BASEMAP_ERROR_REASON_MISSING_METADATA,底图元数据缺失,the metadata file is missing,背景メタデータがありません
MAP_BASEMAP_ERROR_REASON_INVALID_METADATA,底图元数据损坏,the metadata file is invalid,背景メタデータが破損しています
MAP_BASEMAP_ERROR_REASON_TEXTURE_LOAD_FAILED,底图纹理无法加载,the texture could not be loaded,背景テクスチャを読み込めません
EVOLUTION_TITLE,机体进化,Evolution,機体進化
SETTLEMENT_TITLE,战区结算 · 规划站,Zone cleared · Planning,戦区制圧 · 作戦計画
SETTLEMENT_EVO_HEADER,机体进化（全队跟随）,Evolve airframe (squad follows),機体進化（編隊追従）
SETTLEMENT_UPGRADE_HEADER,强化当前机体,Upgrade current airframe,現行機を強化
SETTLEMENT_CONTINUE,继续出击,Return to combat,出撃続行
SETTLEMENT_NO_EVO,已到进化路线尽头,Evolution line complete,進化ルート完了
SETTLEMENT_NO_UPGRADE,暂无可用强化,No upgrades available,強化なし
SETTLEMENT_PICKED_FMT,✓ %s,✓ %s,✓ %s
EVOLUTION_TREE_CURRENT,当前,Current,現在
EVOLUTION_TREE_UNKNOWN,？？？,???,？？？
EVOLUTION_TREE_HINT,点击任意已知机体查看详情与需求；亮色 = 现在可进化,Click any known airframe for details & requirements; lit = evolvable now,既知の機体をクリックで詳細と条件；明色 = 今すぐ進化可能
EVOLUTION_CONFIRM,进化到该机体,Evolve to this airframe,この機体に進化
SETTLEMENT_DETAIL_HEADER,机体详情,Airframe details,機体詳細
EVOLUTION_DETAIL_CURRENT,当前机体,Current,現行機
EVOLUTION_DETAIL_TARGET,可进化,Evolvable,進化可能
EVOLUTION_DETAIL_LOCKED,未解锁,Locked,未解放
EVOLUTION_DETAIL_WEAPONS,武器,Armament,武装
EVOLUTION_DETAIL_PERKS,机体特性,Airframe traits,機体特性
EVOLUTION_DETAIL_PERKS_VS,机体特性（对比当前机）,Airframe traits (vs current),機体特性（現行機比）
EVOLUTION_DETAIL_SAME,与当前机体持平,Identical to current airframe,現行機と同等
EVOLUTION_DETAIL_REQ,进化需求,Requirements,進化条件
EVOLUTION_REQ_LEVEL,等级,Level,レベル
EVOLUTION_REQ_ALL_MET,需求已满足,All requirements met,条件を満たしています
EVOLUTION_GATE_ANY_FMT,%s 任一,%s (any),%s いずれか
EVO_STAT_HP,结构强度,Airframe HP,構造強度
EVO_STAT_SPEED,最大速度,Top speed,最大速度
EVO_STAT_ACCEL,加速,Acceleration,加速
